"yr","plt","grp","bio"
2003,109,"ANPP",216.03
2003,110,"ANPP",398.37
2003,111,"ANPP",963.4
2003,112,"ANPP",757.52
2003,113,"ANPP",676.44
2003,114,"ANPP",650.496
2003,115,"ANPP",650.78
2003,116,"ANPP",275.18
2003,117,"ANPP",628.87
2003,118,"ANPP",751.99
2003,119,"ANPP",958.439
2003,120,"ANPP",816.88
2003,121,"ANPP",503.9
2003,122,"ANPP",428.44
2003,123,"ANPP",588.01
2003,124,"ANPP",487.233
2003,125,"ANPP",507.52
2003,126,"ANPP",1211.91
2003,127,"ANPP",483.064
2003,128,"ANPP",1641.77
2003,129,"ANPP",475.18
2003,131,"ANPP",630.78
2003,134,"ANPP",626.64
2003,136,"ANPP",831.77
2003,137,"ANPP",481.63
2003,139,"ANPP",537.09
2003,142,"ANPP",921.7
2003,144,"ANPP",459.93
2004,1,"ANPP",422.767
2004,2,"ANPP",802.48
2004,3,"ANPP",402.62
2004,4,"ANPP",535.602
2004,5,"ANPP",271.63
2004,6,"ANPP",404.18
2004,7,"ANPP",321.42
2004,8,"ANPP",309.786
2004,9,"ANPP",289.65
2004,10,"ANPP",471.35
2004,11,"ANPP",556.45
2004,12,"ANPP",307.66
2004,13,"ANPP",287.66
2004,14,"ANPP",492.978
2004,15,"ANPP",346.03
2004,16,"ANPP",789.29
2004,17,"ANPP",204.064
2004,18,"ANPP",307.638
2004,19,"ANPP",139.696
2004,20,"ANPP",322.48
2004,21,"ANPP",1462.41
2004,22,"ANPP",500
2004,23,"ANPP",487.752
2004,24,"ANPP",1153.69
2004,25,"ANPP",586.95
2004,26,"ANPP",423.97
2004,27,"ANPP",285.661
2004,28,"ANPP",350.14
2004,29,"ANPP",307.16
2004,30,"ANPP",212.98
2004,31,"ANPP",444.008
2004,32,"ANPP",772.84
2004,33,"ANPP",586.901
2004,34,"ANPP",359.291
2004,35,"ANPP",479.283
2004,36,"ANPP",259.021
2004,37,"ANPP",124.26
2004,38,"ANPP",390.43
2004,39,"ANPP",380.816
2004,40,"ANPP",305.32
2004,41,"ANPP",180.93
2004,42,"ANPP",342.965
2004,43,"ANPP",298.707
2004,44,"ANPP",340.5
2004,45,"ANPP",661.299
2004,46,"ANPP",652.62
2004,47,"ANPP",633.97
